"ID";"RegioS";"Perioden";"TotaalLevendGeborenKinderen_1"
"297";"PV25  ";"1995JJ00";"   23312"
"298";"PV25  ";"1996JJ00";"   23171"
"299";"PV25  ";"1997JJ00";"   23461"
"300";"PV25  ";"1998JJ00";"   24425"
"301";"PV25  ";"1999JJ00";"   24508"
"302";"PV25  ";"2000JJ00";"   25370"
"303";"PV25  ";"2001JJ00";"   24626"
"304";"PV25  ";"2002JJ00";"   24826"
"305";"PV25  ";"2003JJ00";"   24271"
"306";"PV25  ";"2004JJ00";"   23235"
"307";"PV25  ";"2005JJ00";"   22202"
"308";"PV25  ";"2006JJ00";"   22213"
"309";"PV25  ";"2007JJ00";"   21191"
"310";"PV25  ";"2008JJ00";"   21695"
"311";"PV25  ";"2009JJ00";"   21350"
"312";"PV25  ";"2010JJ00";"   21142"
"313";"PV25  ";"2011JJ00";"   20557"
"314";"PV25  ";"2012JJ00";"   19835"
"315";"PV25  ";"2013JJ00";"   19683"
"316";"PV25  ";"2014JJ00";"   19851"
"317";"PV25  ";"2015JJ00";"   19525"
"318";"PV25  ";"2016JJ00";"   19499"
"319";"PV26  ";"1988JJ00";"   12845"
"320";"PV26  ";"1989JJ00";"   13669"
"321";"PV26  ";"1990JJ00";"   14149"
"322";"PV26  ";"1991JJ00";"   14371"
"323";"PV26  ";"1992JJ00";"   14369"
"324";"PV26  ";"1993JJ00";"   14318"
"325";"PV26  ";"1994JJ00";"   14141"
"326";"PV26  ";"1995JJ00";"   13930"
"327";"PV26  ";"1996JJ00";"   14186"
"328";"PV26  ";"1997JJ00";"   14359"
"329";"PV26  ";"1998JJ00";"   15030"
"330";"PV26  ";"1999JJ00";"   15370"
"331";"PV26  ";"2000JJ00";"   16080"
"332";"PV26  ";"2001JJ00";"   15807"
"333";"PV26  ";"2002JJ00";"   16101"
"334";"PV26  ";"2003JJ00";"   16222"
"335";"PV26  ";"2004JJ00";"   15771"
"336";"PV26  ";"2005JJ00";"   15395"
"337";"PV26  ";"2006JJ00";"   15423"
"338";"PV26  ";"2007JJ00";"   15453"
"339";"PV26  ";"2008JJ00";"   15456"
"340";"PV26  ";"2009JJ00";"   15462"
"341";"PV26  ";"2010JJ00";"   15429"
"342";"PV26  ";"2011JJ00";"   14829"
"343";"PV26  ";"2012JJ00";"   14878"
"344";"PV26  ";"2013JJ00";"   14313"
"345";"PV26  ";"2014JJ00";"   14821"
"346";"PV26  ";"2015JJ00";"   14371"
"347";"PV26  ";"2016JJ00";"   14465"
"348";"PV27  ";"1988JJ00";"   29279"
"349";"PV27  ";"1989JJ00";"   29774"
"350";"PV27  ";"1990JJ00";"   31372"
"351";"PV27  ";"1991JJ00";"   31489"
"352";"PV27  ";"1992JJ00";"   31590"
"353";"PV27  ";"1993JJ00";"   31586"
"354";"PV27  ";"1994JJ00";"   31541"
"355";"PV27  ";"1995JJ00";"   30641"
"356";"PV27  ";"1996JJ00";"   30329"
"357";"PV27  ";"1997JJ00";"   31053"
"358";"PV27  ";"1998JJ00";"   32266"
"359";"PV27  ";"1999JJ00";"   32291"
"360";"PV27  ";"2000JJ00";"   33618"
"361";"PV27  ";"2001JJ00";"   32953"
"362";"PV27  ";"2002JJ00";"   32771"
"363";"PV27  ";"2003JJ00";"   32877"
"364";"PV27  ";"2004JJ00";"   32270"
"365";"PV27  ";"2005JJ00";"   31706"
"366";"PV27  ";"2006JJ00";"   30456"
"367";"PV27  ";"2007JJ00";"   30510"
"368";"PV27  ";"2008JJ00";"   30845"
"369";"PV27  ";"2009JJ00";"   31355"
"370";"PV27  ";"2010JJ00";"   31593"
"371";"PV27  ";"2011JJ00";"   30336"
"372";"PV27  ";"2012JJ00";"   29791"
"373";"PV27  ";"2013JJ00";"   29312"
"374";"PV27  ";"2014JJ00";"   29959"
"375";"PV27  ";"2015JJ00";"   29509"
"376";"PV27  ";"2016JJ00";"   29876"
"377";"PV28  ";"1988JJ00";"   42017"
"378";"PV28  ";"1989JJ00";"   42030"
"379";"PV28  ";"1990JJ00";"   44043"
"380";"PV28  ";"1991JJ00";"   44312"
"381";"PV28  ";"1992JJ00";"   43495"
"382";"PV28  ";"1993JJ00";"   43003"
"383";"PV28  ";"1994JJ00";"   42598"
"384";"PV28  ";"1995JJ00";"   41013"
"385";"PV28  ";"1996JJ00";"   40841"
"386";"PV28  ";"1997JJ00";"   41642"
"387";"PV28  ";"1998JJ00";"   42761"
"388";"PV28  ";"1999JJ00";"   43050"
"389";"PV28  ";"2000JJ00";"   44022"
"390";"PV28  ";"2001JJ00";"   43416"
"391";"PV28  ";"2002JJ00";"   43195"
"392";"PV28  ";"2003JJ00";"   42563"
"393";"PV28  ";"2004JJ00";"   42046"
"394";"PV28  ";"2005JJ00";"   40691"
"395";"PV28  ";"2006JJ00";"   40354"
"396";"PV28  ";"2007JJ00";"   39465"
"397";"PV28  ";"2008JJ00";"   40983"
"398";"PV28  ";"2009JJ00";"   41087"
"399";"PV28  ";"2010JJ00";"   41387"
"400";"PV28  ";"2011JJ00";"   41408"
"401";"PV28  ";"2012JJ00";"   40814"
"402";"PV28  ";"2013JJ00";"   39350"
"403";"PV28  ";"2014JJ00";"   40779"
"404";"PV28  ";"2015JJ00";"   39337"
"405";"PV28  ";"2016JJ00";"   40155"
"406";"PV29  ";"1988JJ00";"    4209"
"407";"PV29  ";"1989JJ00";"    4240"
"408";"PV29  ";"1990JJ00";"    4504"
"409";"PV29  ";"1991JJ00";"    4502"
"410";"PV29  ";"1992JJ00";"    4554"
"411";"PV29  ";"1993JJ00";"    4377"
"412";"PV29  ";"1994JJ00";"    4515"
"413";"PV29  ";"1995JJ00";"    4353"
"414";"PV29  ";"1996JJ00";"    4396"
"415";"PV29  ";"1997JJ00";"    4365"
"416";"PV29  ";"1998JJ00";"    4429"
"417";"PV29  ";"1999JJ00";"    4320"
"418";"PV29  ";"2000JJ00";"    4489"
"419";"PV29  ";"2001JJ00";"    4320"
"420";"PV29  ";"2002JJ00";"    4245"
"421";"PV29  ";"2003JJ00";"    4199"
"422";"PV29  ";"2004JJ00";"    4088"
"423";"PV29  ";"2005JJ00";"    3913"
"424";"PV29  ";"2006JJ00";"    3817"
"425";"PV29  ";"2007JJ00";"    3751"
"426";"PV29  ";"2008JJ00";"    3907"
"427";"PV29  ";"2009JJ00";"    3728"
"428";"PV29  ";"2010JJ00";"    3697"
"429";"PV29  ";"2011JJ00";"    3762"
"430";"PV29  ";"2012JJ00";"    3635"
"431";"PV29  ";"2013JJ00";"    3513"
"432";"PV29  ";"2014JJ00";"    3647"
"433";"PV29  ";"2015JJ00";"    3604"
"434";"PV29  ";"2016JJ00";"    3459"
"435";"PV30  ";"1988JJ00";"   26878"
"436";"PV30  ";"1989JJ00";"   27596"
"437";"PV30  ";"1990JJ00";"   28974"
"438";"PV30  ";"1991JJ00";"   28941"
"439";"PV30  ";"1992JJ00";"   29269"
"440";"PV30  ";"1993JJ00";"   28681"
"441";"PV30  ";"1994JJ00";"   29085"
"442";"PV30  ";"1995JJ00";"   28227"
"443";"PV30  ";"1996JJ00";"   28093"
"444";"PV30  ";"1997JJ00";"   28376"
"445";"PV30  ";"1998JJ00";"   29348"
"446";"PV30  ";"1999JJ00";"   29392"
"447";"PV30  ";"2000JJ00";"   30476"
"448";"PV30  ";"2001JJ00";"   29325"
"449";"PV30  ";"2002JJ00";"   29178"
"450";"PV30  ";"2003JJ00";"   28780"
"451";"PV30  ";"2004JJ00";"   27432"
"452";"PV30  ";"2005JJ00";"   26301"
"453";"PV30  ";"2006JJ00";"   26007"
"454";"PV30  ";"2007JJ00";"   25327"
"455";"PV30  ";"2008JJ00";"   25987"
"456";"PV30  ";"2009JJ00";"   25599"
"457";"PV30  ";"2010JJ00";"   25545"
"458";"PV30  ";"2011JJ00";"   25015"
"459";"PV30  ";"2012JJ00";"   24027"
"460";"PV30  ";"2013JJ00";"   23558"
"461";"PV30  ";"2014JJ00";"   24243"
"462";"PV30  ";"2015JJ00";"   23556"
"463";"PV30  ";"2016JJ00";"   24007"
"464";"PV31  ";"1988JJ00";"   12979"
"465";"PV31  ";"1989JJ00";"   12875"
"466";"PV31  ";"1990JJ00";"   13690"
"467";"PV31  ";"1991JJ00";"   13479"
"468";"PV31  ";"1992JJ00";"   13029"
"469";"PV31  ";"1993JJ00";"   12899"
"470";"PV31  ";"1994JJ00";"   12700"
"471";"PV31  ";"1995JJ00";"   12474"
"472";"PV31  ";"1996JJ00";"   12100"
"473";"PV31  ";"1997JJ00";"   11984"
"474";"PV31  ";"1998JJ00";"   12445"
"475";"PV31  ";"1999JJ00";"   12213"
"476";"PV31  ";"2000JJ00";"   12235"
"477";"PV31  ";"2001JJ00";"   11884"
"478";"PV31  ";"2002JJ00";"   11484"
"479";"PV31  ";"2003JJ00";"   11190"
"480";"PV31  ";"2004JJ00";"   10753"
"481";"PV31  ";"2005JJ00";"   10051"
"482";"PV31  ";"2006JJ00";"    9857"
"483";"PV31  ";"2007JJ00";"    9458"
"484";"PV31  ";"2008JJ00";"    9401"
"485";"PV31  ";"2009JJ00";"    9741"
"486";"PV31  ";"2010JJ00";"    9620"
"487";"PV31  ";"2011JJ00";"    9288"
"488";"PV31  ";"2012JJ00";"    9109"
"489";"PV31  ";"2013JJ00";"    9011"
"490";"PV31  ";"2014JJ00";"    8841"
"491";"PV31  ";"2015JJ00";"    8739"
"492";"PV31  ";"2016JJ00";"    8994"
