"ID";"RegioS";"Perioden";"TotaleBevolking_1";"BinnenlandsMigratiesaldo_71";"BinnenlandsMigratiesaldoRelatief_72";"Migratiesaldo_76";"TotaalParticuliereHuishoudens_140";"BedrijfsvestigingenTotaal_168";"Naam_294"
"254";"PV25  ";"2009JJ00";" 1991062";"     618";"     0.3";"    2004";"    34.6";"";"                                                  "
"255";"PV25  ";"2010JJ00";" 1998936";"     288";"     0.1";"    1162";"    34.7";"";"                                                  "
"256";"PV25  ";"2011JJ00";" 2004671";"     632";"     0.3";"    1434";"    34.6";"";"                                                  "
"257";"PV25  ";"2012JJ00";" 2010745";"    1357";"     0.7";"    1122";"    34.5";"";"                                                  "
"258";"PV25  ";"2013JJ00";" 2015791";"     728";"     0.4";"     789";"    34.8";"  156635";"                                                  "
"259";"PV25  ";"2014JJ00";" 2019692";"    1961";"     1.0";"    2061";"    34.9";"  159475";"                                                  "
"260";"PV25  ";"2015JJ00";" 2026578";"    2923";"     1.4";"    4177";"    36.4";"  165680";"                                                  "
"261";"PV25  ";"2016JJ00";" 2035351";"    3851";"     1.9";"    7373";"";"  171170";"                                                  "
"262";"PV25  ";"2017JJ00";" 2047901";"";"";"";"";"  175435";"                                                  "
"263";"PV25  ";"2018JJ00";" 2060141";"";"";"";"";"";"                                                  "
"264";"PV26  ";"1995JJ00";" 1063460";"    1380";"     1.3";"     531";"";"";"                                                  "
"265";"PV26  ";"1996JJ00";" 1070585";"    1636";"     1.5";"    1893";"";"";"                                                  "
"266";"PV26  ";"1997JJ00";" 1079428";"    1515";"     1.4";"    1540";"";"";"                                                  "
"267";"PV26  ";"1998JJ00";" 1088621";"    1505";"     1.4";"    2376";"";"";"                                                  "
"268";"PV26  ";"1999JJ00";" 1098722";"     579";"     0.5";"    2152";"";"";"                                                  "
"269";"PV26  ";"2000JJ00";" 1107849";"     545";"     0.5";"    2480";"";"";"                                                  "
"270";"PV26  ";"2001JJ00";" 1117997";"    1505";"     1.3";"    2692";"";"";"                                                  "
"271";"PV26  ";"2002JJ00";" 1139925";"    4068";"     3.5";"    1128";"";"";"                                                  "
"272";"PV26  ";"2003JJ00";" 1152218";"    2482";"     2.1";"    -190";"";"";"                                                  "
"273";"PV26  ";"2004JJ00";" 1162258";"    3129";"     2.7";"   -1420";"";"";"                                                  "
"274";"PV26  ";"2005JJ00";" 1171291";"    3452";"     2.9";"   -1915";"";"";"                                                  "
"275";"PV26  ";"2006JJ00";" 1180039";"    4469";"     3.8";"    -960";"    32.6";"";"                                                  "
"276";"PV26  ";"2007JJ00";" 1190604";"    3251";"     2.7";"     -74";"    34.3";"";"                                                  "
